id,_type,definition,inScheme,code,note,prefLabel,topConceptOf,theme,hasTopConcept
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/dagrecreatie_met_inbegrip_van_sport,http://www.w3.org/2004/02/skos/core#Concept,"Vorm van recreatie die niet langer duurt dan een dag, en waarbij dus geen sprake is van overnachting",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,"Dagrecreatie, met inbegrip van sport","Vorm van recreatie die niet langer duurt dan een dag, en waarbij dus geen sprake is van overnachting","Dagrecreatie, met inbegrip van sport",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/dancing_restaurant_en_cafe,http://www.w3.org/2004/02/skos/core#Concept,"Bedrijfstak die zich bezighoudt met eten, drinken en dansgelegenheden. Horeca, maar dan zonder de logies.",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,"Dancing, restaurant en café","Bedrijfstak die zich bezighoudt met eten, drinken en dansgelegenheden. Horeca, maar dan zonder de logies.","Dancing, restaurant en café",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/detailhandel,http://www.w3.org/2004/02/skos/core#Concept,Bedrijfstak die zich bezighoudt met de verkoop van fysieke goederen aan consumenten,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Detailhandel,Bedrijfstak die zich bezighoudt met de verkoop van fysieke goederen aan consumenten,Detailhandel,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,http://www.eionet.europa.eu/gemet/concept/7193,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/gemeenschapsvoorzieningen_en_openbare_nutsvoorzieningen,http://www.w3.org/2004/02/skos/core#Concept,"Voorzieningen die gericht zijn op de bevordering van het algemeen belang en die ten dienste van de gemeenschap worden gesteld (Bron: 8 JULI 1997. Omzendbrief betreffende de inrichting en de toepassing van de ontwerp-gewestplannen en gewestplannen, gewijzigd via omzendbrief dd. 25/1/2002 en 25/10/2002)",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Gemeenschapsvoorzieningen en openbare nutsvoorzieningen,"Voorzieningen die gericht zijn op de bevordering van het algemeen belang en die ten dienste van de gemeenschap worden gesteld (Bron: 8 JULI 1997. Omzendbrief betreffende de inrichting en de toepassing van de ontwerp-gewestplannen en gewestplannen, gewijzigd via omzendbrief dd. 25/1/2002 en 25/10/2002)",Gemeenschapsvoorzieningen en openbare nutsvoorzieningen,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/industrie_en_bedrijvigheid,http://www.w3.org/2004/02/skos/core#Concept,Bedrijfstak die zich bezighoudt met de verwerking van grondstoffen tot (half)producten,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Industrie en bedrijvigheid,Bedrijfstak die zich bezighoudt met de verwerking van grondstoffen tot (half)producten,Industrie en bedrijvigheid,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,http://www.eionet.europa.eu/gemet/concept/19,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/kantoorfunctie_dienstverlening_en_vrije_beroepen,http://www.w3.org/2004/02/skos/core#Concept,"Bedrijfstak die zich bezighoudt met het verlenen van diensten, inclusief administratieve werkzaamheden en intellectuele diensten.",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,"Kantoorfunctie, dienstverlening en vrije beroepen","Bedrijfstak die zich bezighoudt met het verlenen van diensten, inclusief administratieve werkzaamheden en intellectuele diensten.","Kantoorfunctie, dienstverlening en vrije beroepen",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/land_en_tuinbouw_in_de_ruime_zin,http://www.w3.org/2004/02/skos/core#Concept,"Bedrijfstak die zich bezighoudt met de productie van paddestoelen, planten en dieren",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Land- en tuinbouw in de ruime zin,"Bedrijfstak die zich bezighoudt met de productie van paddestoelen, planten en dieren",Land- en tuinbouw in de ruime zin,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,http://www.eionet.europa.eu/gemet/concept/232,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/militaire_functie,http://www.w3.org/2004/02/skos/core#Concept,Werking ten behoeve van de krijgsmacht van de staat,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Militaire functie,Werking ten behoeve van de krijgsmacht van de staat,Militaire functie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/verblijfsrecreatie,http://www.w3.org/2004/02/skos/core#Concept,"Vorm van recreatie waarbij de recreant voor een bepaalde tijd, maar ten minste een nacht, in het recreatiegebied of de toeristische plaats verblijft",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Verblijfsrecreatie,"Vorm van recreatie waarbij de recreant voor een bepaalde tijd, maar ten minste een nacht, in het recreatiegebied of de toeristische plaats verblijft",Verblijfsrecreatie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/wonen,http://www.w3.org/2004/02/skos/core#Concept,Huisvesting van een gezin of alleenstaande,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,Wonen,Huisvesting van een gezin of alleenstaande,Wonen,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,null,null
https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/hoofdfunctie_stedenbouw,http://www.w3.org/2004/02/skos/core#ConceptScheme,"De functies die in kader van een omgevingsvergunning voor stedenbouwkundige handelingen als hoofdfunctie beschouwd worden in Artikel 2, § 1, van het Besluit van de Vlaamse Regering van14 april 2000 tot bepaling van de vergunningsplichtige functiewijzigingen",null,Hoofdfunctie stedenbouw,"De functies die in kader van een omgevingsvergunning voor stedenbouwkundige handelingen als hoofdfunctie beschouwd worden in Artikel 2, § 1, van het Besluit van de Vlaamse Regering van14 april 2000 tot bepaling van de vergunningsplichtige functiewijzigingen",Hoofdfunctie stedenbouw,null,null,https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/dagrecreatie_met_inbegrip_van_sport|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/dancing_restaurant_en_cafe|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/detailhandel|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/gemeenschapsvoorzieningen_en_openbare_nutsvoorzieningen|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/industrie_en_bedrijvigheid|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/kantoorfunctie_dienstverlening_en_vrije_beroepen|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/land_en_tuinbouw_in_de_ruime_zin|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/militaire_functie|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/verblijfsrecreatie|https://data.omgeving.vlaanderen.be/id/concept/hoofdfunctie_stedenbouw/wonen